journal,lower_quartile,median,upper_quartile,count
American journal of hospital pharmacy,6,9,11,43
American journal of human genetics,11,14,18,172
American journal of infection control,9,12,16,62
American journal of kidney diseases : the official journal of the National Kidney Foundation,11,14,17,115
American journal of law & medicine,6,7,13,3
"American journal of medical genetics. Part C, Seminars in medical genetics",6,6,11,4
American journal of medical quality : the official journal of the American College of Medical Quality,9,13,14,17
American journal of obstetrics and gynecology,11,13,16,415
American journal of ophthalmology,10,13,17,256
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",12,15,18,96
American journal of physical medicine & rehabilitation / Association of Academic Physiatrists,11,13,15,33
American journal of physiology. Cell physiology,13,17,22,91
American journal of physiology. Endocrinology and metabolism,14,17,21,87
American journal of physiology. Gastrointestinal and liver physiology,12,16,21,92
American journal of physiology. Heart and circulatory physiology,14,17,21,186
American journal of physiology. Lung cellular and molecular physiology,14,16,18,65
"American journal of physiology. Regulatory, integrative and comparative physiology",14,16,20,97
American journal of physiology. Renal physiology,15,16,21,73
American journal of psychotherapy,7,11,12,29
American journal of public health,11,13,17,216
American journal of respiratory and critical care medicine,13,15,20,166
American journal of respiratory cell and molecular biology,12,16,19,93
American journal of rhinology,12,14,18,27
American journal of surgery,10,13,15,232
American journal on intellectual and developmental disabilities,15,15,18,4
Anaesthesia,10,12,15,143
Anaesthesia and intensive care,9,11,16,65
Anales de la Real Academia Nacional de Medicina,3,5,9,14
Analytical and quantitative cytology and histology / the International Academy of Cytology [and] American Society of Cytology,7,10,13,42
Anatomical sciences education,8,10,15,5
Anesteziologiia i reanimatologiia,9,11,14,53
Anesthesia and analgesia,11,13,17,251
Anesthesia progress,9,14,19,14
Anesthesiology,10,13,16,180
Angiology,9,12,17,102
Animal genetics,9,11,13,49
Annales Academiae Medicae Stetinensis,12,12,15,14
Annales d'urologie,9,11,12,24
Annales de biologie clinique,8,11,13,41
Annali di chimica,6,8,9,13
Annali italiani di chirurgia,8,10,14,29
Annals of African medicine,9,17,21,11
"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",12,14,16,56
Annals of clinical microbiology and antimicrobials,11,14,18,9
Annals of emergency medicine,9,11,15,108
Annals of epidemiology,11,15,18,49
"Annals of health law / Loyola University Chicago, School of Law, Institute for Health Law",10,10,10,4
Annals of hematology,11,14,17,54
Annals of human genetics,9,12,15,37
Annals of internal medicine,10,13,17,145
Annals of neurology,11,12,16,171
"Annals of ophthalmology (Skokie, Ill.)",16,16,16,2
Annals of science,3,3,3,1
Annals of surgery,10,14,17,172
Annals of the New York Academy of Sciences,9,12,14,244
Annals of the Royal Australasian College of Dental Surgeons,9,12,15,3
Annals of the Royal College of Surgeons of England,8,11,14,74
Annals of the rheumatic diseases,10,13,17,166
Annual review of biophysics,7,7,7,1
Annual review of immunology,13,13,16,2
Annual review of public health,4,14,18,3
Anticancer research,11,14,16,336
Antiviral research,11,13,16,66
Applied and environmental microbiology,8,11,14,478
Applied parasitology,11,11,12,4
Applied spectroscopy,6,9,12,31
"Archaea (Vancouver, B.C.)",10,13,13,5
Architectural record,7,7,7,1
Archives de l'Institut Pasteur de Tunis,8,10,12,8
Archives des maladies du coeur et des vaisseaux,9,11,14,151
Archives italiennes de biologie,9,10,13,15
Archives of andrology,9,10,13,35
Archives of animal nutrition,12,13,16,16
Archives of biochemistry and biophysics,10,13,16,269
Archives of dermatology,8,10,14,108
Archives of disease in childhood,11,13,15,176
Archives of disease in childhood. Fetal and neonatal edition,10,12,15,29
Archives of environmental & occupational health,12,12,13,6
Archives of general psychiatry,13,15,17,100
Archives of insect biochemistry and physiology,8,12,14,22
Archives of internal medicine,10,12,15,222
Archives of neurology,10,12,15,145
Archives of ophthalmology,10,13,16,170
Archives of osteoporosis,17,17,17,1
Archives of otolaryngology--head & neck surgery,12,14,17,103
Archives of pathology,11,15,16,3
Archives of pathology & laboratory medicine,8,10,13,124
Archives of pediatrics & adolescent medicine,11,13,16,55
Archives of physical medicine and rehabilitation,10,12,15,190
"Archives of surgery (Chicago, Ill. : 1960)",10,13,15,178
Archives of virology,9,12,15,142
Archives of virology. Supplementum,6,9,12,5
Arkhiv patologii,8,10,12,82
"Arteriosclerosis, thrombosis, and vascular biology",14,18,22,137
Arthritis and rheumatism,11,14,16,247
Arthritis care & research,13,13,19,25
Arzneimittel-Forschung,10,12,15,216
Asian Pacific journal of allergy and immunology / launched by the Allergy and Immunology Society of Thailand,10,13,16,22
Asian journal of psychiatry,14,14,15,4
Assistenza infermieristica e ricerca : AIR,8,13,16,9
Assistive technology : the official journal of RESNA,10,10,11,4
Audiology & neuro-otology,10,12,14,11
Australasian physical & engineering sciences in medicine / supported by the Australasian College of Physical Scientists in Medicine and the Australasian Association of Physical Sciences in Medicine,7,7,8,8
Australian and New Zealand journal of public health,11,13,15,26
Australian journal of primary health,13,13,16,2
Australian nursing journal (July 1993),6,9,12,3
Australian orthodontic journal,14,14,20,4
Australian veterinary journal,9,11,14,61
Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine,7,8,10,18
Avian diseases,9,11,13,102
"Aviation, space, and environmental medicine",9,11,13,141
B-ENT,8,10,12,6
BJOG : an international journal of obstetrics and gynaecology,11,13,16,59
BJU international,11,13,15,142
BMC biochemistry,8,15,20,3
BMC bioinformatics,7,8,11,158
BMC biology,8,9,14,6
BMC biotechnology,10,12,13,20
BMC cell biology,12,14,17,17
BMC complementary and alternative medicine,13,15,17,25
BMC dermatology,12,12,17,4
BMC developmental biology,8,9,16,6
BMC ecology,9,11,14,7
BMC emergency medicine,16,16,18,4
BMC evolutionary biology,8,10,12,65
BMC gastroenterology,12,15,18,20
BMC genetics,9,10,13,24
BMC genomics,9,12,16,133
BMC infectious diseases,12,14,17,64
BMC medical ethics,7,7,14,4
BMC medical genetics,13,16,19,24
BMC medical genomics,9,13,13,7
BMC medical imaging,13,15,16,6
BMC medicine,12,12,14,12
BMC microbiology,10,11,15,48
BMC molecular biology,11,14,18,18
BMC neurology,10,13,15,23
BMC neuroscience,10,14,18,21
BMC ophthalmology,10,11,17,8
BMC oral health,16,20,25,10
BMC pharmacology,9,15,19,5
BMC physiology,12,12,15,6
BMC plant biology,9,11,16,29
BMC pregnancy and childbirth,13,15,17,21
BMC pulmonary medicine,16,17,19,14
BMC structural biology,8,10,12,12
BMC systems biology,7,8,10,32
BMC veterinary research,9,12,14,27
BMC women's health,12,16,19,10
BMJ (Clinical research ed.),11,14,16,127
"Bacteriologia, virusologia, parazitologia, epidemiologia (Bucharest, Romania : 1990)",7,7,8,2
Bangladesh Medical Research Council bulletin,8,10,14,14
Behavior research methods,6,6,11,21
Benefits quarterly,7,8,10,6
Berichte zur Wissenschaftsgeschichte,8,8,9,2
Best practice & research. Clinical anaesthesiology,10,10,10,1
"Bing du xue bao = Chinese journal of virology / [bian ji, Bing du xue bao bian ji wei yuan hui]",10,12,16,15
Biochemia medica,6,6,12,2
Biochemical and biophysical research communications,11,13,16,1278
Biochemical pharmacology,11,14,16,323
Biochemistry,10,13,16,1135
Biochimica et biophysica acta,10,12,15,1245
Biocontrol science,8,8,9,8
Biofizika,5,7,9,87
Biologie aujourd'hui,1,1,1,1
Biology of the cell / under the auspices of the European Cell Biology Organization,11,12,14,25
Biomedical and environmental sciences : BES,10,13,15,36
Biomedical engineering online,10,11,14,14
Biomedical instrumentation & technology / Association for the Advancement of Medical Instrumentation,11,11,13,8
"Biomedical materials (Bristol, England)",15,16,18,12
Biomolecular NMR assignments,9,9,10,8
Bioorganicheskaia khimiia,6,8,12,58
Biophysical journal,9,11,14,394
Biophysics of structure and mechanism,8,8,8,4
Biopolymers,7,9,12,94
Biotechnology and bioengineering,9,11,13,113
Blood,13,16,19,712
Brain : a journal of neurology,13,15,18,113
Breastfeeding review : professional publication of the Nursing Mothers' Association of Australia,19,19,19,1
British journal for the history of science,7,7,9,4
British journal of anaesthesia,10,13,15,181
British journal of cancer,12,14,17,339
British journal of community nursing,8,9,11,26
British journal of haematology,10,13,16,256
British journal of nursing (Mark Allen Publishing),6,9,12,65
Bulletin du cancer,9,13,15,53
Bulletin of anesthesia history,11,11,11,1
Bulletin of environmental contamination and toxicology,7,9,11,57
Bulletin of the history of medicine,8,8,10,5
Bulletin on narcotics,7,9,11,11
CA: a cancer journal for clinicians,6,6,9,4
CANNT journal = Journal ACITN,22,22,22,1
CDS review,11,11,11,1
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,9,13,16,51
CNS spectrums,11,11,15,6
Canadian Association of Radiologists journal = Journal l'Association canadienne des radiologistes,8,9,10,16
Canadian journal of cardiovascular nursing = Journal canadien en soins infirmiers cardio-vasculaires,17,19,20,3
Canadian journal of gastroenterology = Journal canadien de gastroenterologie,9,12,15,27
Canadian journal of neuroscience nursing,23,23,23,1
Canadian journal of ophthalmology. Journal canadien d'ophtalmologie,10,12,14,41
Canadian journal of surgery. Journal canadien de chirurgie,10,12,14,56
Canadian oncology nursing journal = Revue canadienne de nursing oncologique,5,5,8,4
Canadian operating room nursing journal,6,6,8,5
Cancer,10,13,17,582
Cancer cell,12,17,20,34
Cancer chemotherapy and pharmacology,12,14,18,149
Cancer cytopathology,6,11,14,7
Cancer detection and prevention,9,12,16,35
Cancer genetics,11,15,21,6
Cancer genetics and cytogenetics,9,11,15,112
Cancer immunity,15,15,20,4
"Cancer immunology, immunotherapy : CII",13,16,20,80
Cancer investigation,12,15,18,43
Cancer letters,11,14,16,223
Cancer research,12,14,17,866
Cancer science,13,15,18,59
Cancer treatment reviews,12,12,12,4
Carcinogenesis,11,14,17,243
Cardiovascular ultrasound,10,12,14,10
Care management journals : Journal of case management ; The journal of long term home health care,9,12,17,3
Caring : National Association for Home Care magazine,6,8,10,29
Cell,11,14,18,285
Cell host & microbe,9,12,17,10
Cell proliferation,12,13,15,15
Cell structure and function,11,13,18,23
Cellular and molecular life sciences : CMLS,12,14,18,35
Cellular immunology,12,14,17,123
Cellular oncology : the official journal of the International Society for Cellular Oncology,10,10,17,2
Central European journal of public health,9,12,16,23
Chang Gung medical journal,8,11,13,27
"Chemical record (New York, N.Y.)",6,6,9,2
Chemico-biological interactions,10,14,16,102
"Chemistry (Weinheim an der Bergstrasse, Germany)",7,8,10,130
Chemosphere,7,9,12,277
Chest,9,13,16,386
Child welfare,10,12,14,22
Chimia,6,8,8,5
"Chirurgia (Bucharest, Romania : 1990)",9,14,16,38
Chirurgia italiana,7,8,10,46
Circulation,11,14,18,432
Circulation research,12,15,19,185
Circulation. Arrhythmia and electrophysiology,16,17,21,14
Circulation. Cardiovascular imaging,17,21,24,13
Circulation. Heart failure,17,18,20,12
Clinical & experimental metastasis,11,14,16,40
Clinical & experimental ophthalmology,12,15,17,29
Clinical advances in hematology & oncology : H&O,19,19,19,1
Clinical and experimental immunology,12,14,17,259
Clinical and experimental obstetrics & gynecology,10,11,12,52
Clinical and experimental rheumatology,12,14,17,84
Clinical breast cancer,9,12,15,12
Clinical chemistry,8,10,14,224
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,11,14,17,32
"Clinical immunology (Orlando, Fla.)",13,16,19,45
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,10,13,16,174
Clinical laboratory,8,10,13,26
Clinical laboratory science : journal of the American Society for Medical Technology,5,8,11,14
"Clinical medicine (London, England)",6,7,9,13
Clinical microbiology reviews,4,4,4,1
Clinical nephrology,10,13,16,121
Clinical neuropathology,10,12,15,24
Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,11,14,16,106
Clinical neurosurgery,7,8,11,3
Clinical nurse specialist CNS,7,8,13,17
Clinical orthopaedics and related research,9,12,14,329
Clinical pharmacology and therapeutics,11,14,15,128
"Clinical physiology (Oxford, England)",9,11,14,22
Clinical radiology,9,13,15,86
"Clinical science (London, England : 1979)",11,13,15,112
"Clinical toxicology (Philadelphia, Pa.)",12,13,17,26
Clinical transplants,11,14,19,17
Cognitive neuropsychology,10,11,12,5
"Cognitive, affective & behavioral neuroscience",13,15,18,6
"Collegian (Royal College of Nursing, Australia)",11,11,13,8
Collegium antropologicum,9,11,13,78
Communicable diseases intelligence,6,6,18,2
Communication & medicine,10,10,12,2
Communications in agricultural and applied biological sciences,6,8,10,25
Community dental health,11,15,20,19
Community genetics,9,12,14,3
Community practitioner : the journal of the Community Practitioners' & Health Visitors' Association,11,11,12,4
"Comparative biochemistry and physiology. B, Comparative biochemistry",9,11,13,65
Comparative biochemistry and physiology. Biochemistry and molecular biology,12,12,12,1
Comparative medicine,9,12,17,11
"Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",8,12,17,21
Comprehensive therapy,6,7,15,3
Computational systems bioinformatics / Life Sciences Society. Computational Systems Bioinformatics Conference,14,14,14,1
Congenital heart disease,12,14,20,12
Connecticut medicine,8,10,16,16
Contemporary nurse,5,7,12,21
Contemporary topics in laboratory animal science / American Association for Laboratory Animal Science,9,12,18,7
"Continuum (Minneapolis, Minn.)",5,5,5,1
Cornea,10,12,16,104
Cranio : the journal of craniomandibular practice,12,14,17,20
Creative nursing,7,8,11,3
Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,10,13,16,10
Critical care medicine,10,13,16,204
Critical reviews in biomedical engineering,5,11,14,3
Critical reviews in eukaryotic gene expression,8,8,8,1
Cryo letters,8,9,11,12
Curationis,9,10,14,14
Current HIV research,14,15,17,6
Current drug abuse reviews,16,16,16,1
Current eye research,10,14,17,90
Current microbiology,8,10,13,78
Current neurology and neuroscience reports,12,12,12,1
Current opinion in cell biology,10,10,10,1
Current opinion in chemical biology,3,3,8,2
Current opinion in drug discovery & development,9,9,9,1
"Current protocols in bioinformatics / editoral board, Andreas D. Baxevanis ... [et al.]",8,8,10,4
"Current protocols in cell biology / editorial board, Juan S. Bonifacino ... [et al.]",7,11,13,7
"Current protocols in cytometry / editorial board, J. Paul Robinson, managing editor ... [et al.]",7,10,11,5
"Current protocols in human genetics / editorial board, Jonathan L. Haines ... [et al.]",8,8,10,2
Current protocols in immunology / edited by John E. Coligan ... [et al.],8,11,17,11
Current protocols in microbiology,5,7,9,8
Current protocols in molecular biology / edited by Frederick M. Ausubel ... [et al.],6,7,9,14
"Current protocols in neuroscience / editorial board, Jacqueline N. Crawley ... [et al.]",7,8,8,6
Current protocols in nucleic acid chemistry / edited by Serge L. Beaucage ... [et al.],6,7,8,5
"Current protocols in protein science / editorial board, John E. Coligan ... [et al.]",6,9,10,9
Current protocols in stem cell biology,11,14,18,3
Current rheumatology reports,9,9,9,1
Current topics in microbiology and immunology,7,7,13,4
Cutis,7,9,11,70
Cytogenetic and genome research,10,12,17,27
Cytogenetics and cell genetics,9,11,15,66
DNA and cell biology,14,17,19,47
Delaware medical journal,7,12,13,3
Dental update,8,9,15,30
Dentistry today,7,7,7,1
Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.],8,11,14,64
Dermatology nursing / Dermatology Nurses' Association,7,11,16,7
Deutsche medizinische Wochenschrift (1946),10,13,16,153
"Development (Cambridge, England)",12,15,18,274
Developmental biology,11,13,16,232
Developmental cell,12,14,18,47
Developmental medicine and child neurology,10,13,15,87
Developmental neuroscience,10,13,16,26
Developments in biologicals,8,9,15,6
Diabetes,13,15,19,267
"Diagnostic molecular pathology : the American journal of surgical pathology, part B",9,11,17,20
Dialogues in clinical neuroscience,8,8,15,2
Die Pharmazie,8,11,15,109
Digestive diseases and sciences,11,14,16,236
Disaster management & response : DMR : an official publication of the Emergency Nurses Association,17,17,17,1
Disease management advisor,8,9,11,10
Diseases of aquatic organisms,8,10,14,44
Diseases of the colon and rectum,10,13,16,160
"Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections / translated from Russian",5,5,5,1
"Down's syndrome, research and practice : the journal of the Sarah Duffen Centre / University of Portsmouth",10,10,10,4
Drug metabolism letters,8,9,14,6
"Drugs of today (Barcelona, Spain : 1998)",7,10,10,3
"Dynamics (Pembroke, Ont.)",8,8,13,4
"Dynamis (Granada, Spain)",7,7,8,3
EBRI issue brief / Employee Benefit Research Institute,13,14,20,3
ED management : the monthly update on emergency department management,7,8,9,16
EXS,14,14,14,5
Early science and medicine,5,7,8,3
East African journal of public health,17,18,21,3
East African medical journal,11,13,16,72
Ecological applications : a publication of the Ecological Society of America,7,8,10,45
Ecology,6,8,11,57
Eksperimental'naia i klinicheskaia farmakologiia,11,12,14,54
Electromyography and clinical neurophysiology,11,13,15,22
Emergency medicine clinics of North America,7,7,12,5
Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association,9,9,10,4
Endocrinology,12,15,18,513
Endothelium : journal of endothelial cell research,13,14,17,6
Environmental and molecular mutagenesis,12,14,16,32
Environmental health : a global access science source,11,12,16,12
Environmental research,10,12,15,70
Environmental science & technology,7,9,12,374
Environmental science and pollution research international,8,10,13,58
Environmental technology,7,8,11,58
Environmental toxicology and chemistry / SETAC,7,10,12,95
Epidemiologia e psichiatria sociale,8,10,13,9
Epidemiology and infection,12,15,19,102
Epidemiology and psychiatric sciences,14,16,16,3
Epilepsia,11,14,18,172
Epileptic disorders : international epilepsy journal with videotape,10,12,15,24
Equine veterinary journal,9,11,16,56
Ernst Schering Foundation symposium proceedings,10,10,10,1
Ethiopian medical journal,9,12,17,22
Ethnicity & disease,13,15,19,29
European annals of allergy and clinical immunology,5,5,17,4
European journal of dermatology : EJD,9,12,15,33
European journal of drug metabolism and pharmacokinetics,8,10,12,29
European journal of endocrinology / European Federation of Endocrine Societies,12,15,18,97
European journal of gynaecological oncology,8,12,16,64
European journal of haematology,12,15,20,47
European journal of health law,6,6,7,4
European journal of immunology,12,14,17,294
European journal of ophthalmology,12,15,17,63
European journal of oral implantology,13,13,27,2
European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry,12,17,18,14
European journal of protistology,5,6,8,7
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,11,15,17,89
European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,12,16,19,71
European review for medical and pharmacological sciences,8,11,13,39
Evidence-based dentistry,4,4,4,1
Evidence-based medicine,5,5,5,1
Evolution & development,8,9,12,22
Exercise immunology review,17,17,17,1
Experimental and molecular pathology,11,13,16,38
"Experimental biology and medicine (Maywood, N.J.)",11,14,15,23
Experimental cell research,11,15,19,232
Experimental eye research,11,13,16,121
Experimental hematology,12,14,18,123
Experimental neurology,11,15,19,161
Experimental parasitology,11,14,18,94
Expert review of vaccines,8,8,11,2
Expert reviews in molecular medicine,9,9,9,1
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,13,15,19,145
FEBS letters,10,12,15,674
FEMS microbiology ecology,10,12,14,42
FEMS microbiology letters,8,10,13,211
"Families, systems & health : the journal of collaborative family healthcare",6,16,18,3
Faraday discussions,4,7,11,17
Female pelvic medicine & reconstructive surgery,10,10,12,4
Fertility and sterility,10,12,15,375
Fiziologiia cheloveka,8,9,11,7
Fogorvosi szemle,8,10,12,17
Folia biologica,8,10,14,46
Folia medica,9,11,13,23
Folia medica Cracoviensia,11,11,13,8
Folia parasitologica,7,8,10,24
Food and nutrition bulletin,14,18,19,17
Food microbiology,8,11,14,25
Fortune,4,4,5,2
Frontiers in bioscience : a journal and virtual library,12,12,18,12
Frontiers of health services management,7,7,7,4
Frontiers of neurology and neuroscience,7,8,9,3
Fukuoka igaku zasshi = Hukuoka acta medica,7,8,10,13
Fukushima journal of medical science,8,8,9,4
Functional neurology,8,12,15,13
Fungal genetics and biology : FG & B,9,10,14,33
Future microbiology,9,10,16,6
GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies,7,7,10,6
Gan to kagaku ryoho. Cancer & chemotherapy,10,12,15,285
Gastroenterology,11,14,18,298
Gene,10,13,17,359
Gene expression,13,14,21,7
Genes & development,12,15,20,118
"Genetic counseling (Geneva, Switzerland)",10,12,14,14
Genetic testing,13,16,17,9
"Genetic, social, and general psychology monographs",8,10,10,5
Genetika,7,8,11,129
Genome informatics. International Conference on Genome Informatics,5,8,9,7
Genomics,12,14,17,169
Geobiology,10,11,12,9
Geriatrics,7,8,11,12
Gesnerus,7,8,8,8
Gewina,6,8,9,3
Gigiena i sanitariia,8,10,12,60
Ginekologia polska,9,13,14,67
Giornale italiano di cardiologia (2006),6,8,11,6
Giornale italiano di medicina del lavoro ed ergonomia,5,7,11,33
Glas. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka,9,9,9,1
Global journal of health science,13,15,16,6
"Growth, development, and aging : GDA",8,8,9,4
Gut,11,13,16,215
Gynecologic oncology,11,13,15,207
HIV clinical trials,10,15,20,7
HIV/AIDS policy & law review / Canadian HIV/AIDS Legal Network,4,6,8,7
Harefuah,7,9,12,83
Harvard business review,6,9,10,21
Hawaii medical journal,8,10,17,23
Health & social work,9,13,15,18
Health and history,8,8,11,2
Health and human rights,13,13,13,1
Health care financing review,11,12,14,18
Health care for women international,12,14,17,28
Health care management science,7,11,12,7
Health care strategic management,7,8,9,8
Health data management,9,10,11,5
Health devices,6,7,10,8
Health estate,6,6,8,13
Health facilities management,7,7,8,2
Health law in Canada,7,7,11,2
Health management technology,10,10,13,2
"Health matrix (Cleveland, Ohio : 1991)",6,6,7,2
Health physics,7,9,12,119
"Health progress (Saint Louis, Mo.)",8,10,12,20
Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals,10,10,15,4
Health services research,12,15,18,32
Health statistics quarterly / Office for National Statistics,10,10,18,2
Healthcare benchmarks and quality improvement,6,8,10,11
Healthcare executive,6,6,13,2
Healthcare financial management : journal of the Healthcare Financial Management Association,6,8,10,48
Healthcare informatics : the business magazine for information and communication systems,7,7,8,4
Heart (British Cardiac Society),12,14,16,74
Helicobacter,13,16,17,26
Hematological oncology,11,13,15,13
Hepato-gastroenterology,11,14,17,202
"Hepatology (Baltimore, Md.)",12,15,18,215
Heredity,8,9,11,50
Herpes : the journal of the IHMF,9,9,9,1
"Hindsight (Saint Louis, Mo.)",9,9,9,1
Hinyokika kiyo. Acta urologica Japonica,8,10,13,123
Hiroshima journal of medical sciences,10,11,13,7
Histology and histopathology,12,14,16,41
History and philosophy of the life sciences,7,7,12,6
History of psychiatry,11,11,11,1
History of psychology,7,7,10,5
Homeostasis in health and disease : international journal devoted to integrative brain functions and homeostatic systems,7,7,7,1
Hormone research,10,12,16,65
"Hormones (Athens, Greece)",11,14,14,5
Hospital case management : the monthly update on hospital-based care planning and critical paths,7,8,8,3
Hospital topics,6,9,12,9
Hospitals & health networks / AHA,8,9,11,30
Human factors,8,11,13,24
Human genetics,9,12,16,153
Human pathology,10,14,17,168
Human reproduction and genetic ethics,10,10,10,1
Hypertension,12,15,19,223
IARC scientific publications,8,10,14,34
IEEE transactions on nanobioscience,8,9,11,14
IET nanobiotechnology / IET,13,13,13,1
IET systems biology,4,4,8,2
Immunity,13,18,20,61
Immunogenetics,10,12,15,78
Immunohematology / American Red Cross,9,9,11,4
Immunology,11,13,16,180
Imprint,6,6,8,2
In silico biology,8,9,11,10
"In vivo (Athens, Greece)",10,13,16,59
Indian heart journal,9,12,13,21
Indian journal of biochemistry & biophysics,8,11,15,27
Indian journal of experimental biology,7,9,13,95
Indian journal of leprosy,7,10,12,30
Indian journal of medical ethics,10,10,10,1
Indian journal of pathology & microbiology,8,10,12,61
Indian journal of physiology and pharmacology,9,10,13,44
Indian journal of public health,8,8,10,8
Infection and immunity,10,12,15,620
Infectious disease clinics of North America,3,3,3,1
Infectious diseases in obstetrics and gynecology,10,15,21,3
