word,count,journal,in_that_journal
"Electrophoresis, Polyacrylamide Gel",1250,The Journal of biological chemistry,222
Phylogeny,1243,International journal of systematic and evolutionary microbiology,121
Enzyme Activation,1229,The Journal of biological chemistry,220
"Protein Structure, Tertiary",1228,The Journal of biological chemistry,333
Structure-Activity Relationship,1228,Journal of medicinal chemistry,287
Reverse Transcriptase Polymerase Chain Reaction,1226,The Journal of biological chemistry,63
Temperature,1221,The Journal of biological chemistry,67
"Microscopy, Electron",1202,The Journal of cell biology,76
Antineoplastic Agents,1192,Cancer research,72
"Sequence Analysis, DNA",1191,International journal of systematic and evolutionary microbiology,89
Proteins,1190,The Journal of biological chemistry,103
Carrier Proteins,1181,The Journal of biological chemistry,177
Prevalence,1177,American journal of public health,21
Plasmids,1172,The Journal of biological chemistry,189
Incidence,1156,American journal of epidemiology,19
Species Specificity,1151,Proceedings of the National Academy of Sciences of the United States of America,54
"Rats, Wistar",1144,The Journal of neuroscience : the official journal of the Society for Neuroscience,53
"Chromatography, High Pressure Liquid",1136,Journal of chromatography. A,105
Anti-Bacterial Agents,1134,The Journal of antimicrobial chemotherapy,93
Neurons,1132,The Journal of neuroscience : the official journal of the Society for Neuroscience,216
Predictive Value of Tests,1116,The American journal of cardiology,30
Cross-Sectional Studies,1116,Journal of the American Geriatrics Society,30
DNA Primers,1109,The Journal of biological chemistry,132
Oxidation-Reduction,1101,The Journal of biological chemistry,89
Swine,1100,The Journal of biological chemistry,52
Genotype,1084,Journal of clinical microbiology,43
Analysis of Variance,1080,The Journal of neuroscience : the official journal of the Society for Neuroscience,33
Lung,1066,Chest,46
Lung Neoplasms,1065,Cancer research,63
Lymphocyte Activation,1057,"Journal of immunology (Baltimore, Md. : 1950)",230
Sex Factors,1048,The American journal of psychiatry,24
Flow Cytometry,1046,Blood,59
Insulin,1040,Diabetes,115
"DNA, Bacterial",1035,Journal of bacteriology,150
Double-Blind Method,1030,Anesthesia and analgesia,34
Cell Survival,1024,Cancer research,57
Cricetinae,1023,The Journal of biological chemistry,130
Severity of Illness Index,1023,The American journal of cardiology,22
Enzyme Inhibitors,1014,The Journal of biological chemistry,94
Peptide Fragments,1014,The Journal of biological chemistry,117
Survival Rate,1007,Cancer,45
Peptides,999,The Journal of biological chemistry,102
Acute Disease,994,Blood,20
Enzyme-Linked Immunosorbent Assay,984,Journal of immunological methods,46
Adenocarcinoma,974,Cancer,54
Neoplasm Staging,972,Cancer,75
Recombinant Fusion Proteins,969,The Journal of biological chemistry,133
Chronic Disease,957,Digestive diseases and sciences,13
Antineoplastic Combined Chemotherapy Protocols,954,Gan to kagaku ryoho. Cancer & chemotherapy,115
"Mice, Transgenic",944,"Journal of immunology (Baltimore, Md. : 1950)",102
Macrophages,944,"Journal of immunology (Baltimore, Md. : 1950)",92
Fibroblasts,942,The Journal of biological chemistry,90
Tumor Necrosis Factor-alpha,941,"Journal of immunology (Baltimore, Md. : 1950)",75
Aging,922,The American journal of physiology,36
Saccharomyces cerevisiae,917,The Journal of biological chemistry,135
Molecular Structure,910,Organic letters,206
Cell Nucleus,906,The Journal of biological chemistry,116
Biological Markers,904,The American journal of cardiology,18
Survival Analysis,897,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,57
Immunoglobulin G,895,"Journal of immunology (Baltimore, Md. : 1950)",66
Reference Values,890,The American journal of physiology,62
Substrate Specificity,887,The Journal of biological chemistry,168
Recurrence,887,Journal of the American College of Cardiology,21
Cell Proliferation,886,The Journal of biological chemistry,44
Glucose,884,The Journal of biological chemistry,68
Myocardium,880,The American journal of physiology,77
Magnetic Resonance Spectroscopy,879,Biochemistry,123
Combined Modality Therapy,877,Gan to kagaku ryoho. Cancer & chemotherapy,52
Sequence Alignment,876,The Journal of biological chemistry,76
HeLa Cells,868,The Journal of biological chemistry,156
Neoplasms,867,Cancer research,46
"DNA, Viral",856,Journal of virology,162
Algorithms,856,BMC bioinformatics,77
Body Weight,854,Poultry science,56
Chickens,845,Poultry science,197
Risk Assessment,843,The Annals of thoracic surgery,30
Nuclear Proteins,843,The Journal of biological chemistry,124
"Mutagenesis, Site-Directed",833,The Journal of biological chemistry,218
Skin,822,The Journal of investigative dermatology,73
Spleen,813,"Journal of immunology (Baltimore, Md. : 1950)",92
Oxygen,801,The Journal of biological chemistry,32
"DNA, Complementary",800,The Journal of biological chemistry,137
Adenosine Triphosphate,792,The Journal of biological chemistry,138
Hypertension,775,Hypertension,129
Biological Transport,772,The Journal of biological chemistry,106
Cytokines,770,"Journal of immunology (Baltimore, Md. : 1950)",111
HIV Infections,767,Journal of acquired immune deficiency syndromes (1999),74
Chromosome Mapping,764,Genomics,75
"Drug Therapy, Combination",761,Cancer,23
Fluorescent Antibody Technique,759,The Journal of cell biology,33
"Carcinoma, Squamous Cell",758,Cancer,43
Culture Media,751,Journal of bacteriology,76
Biopsy,748,Chest,17
Logistic Models,741,American journal of public health,22
Heart Rate,739,The American journal of physiology,48
Disease Progression,738,Neurology,22
Liver Neoplasms,732,Gan to kagaku ryoho. Cancer & chemotherapy,48
Blood Glucose,723,Diabetes,88
Regression Analysis,723,The American journal of cardiology,14
Gene Expression Profiling,721,BMC genomics,37
Hemodynamics,715,The American journal of physiology,41
Cell Movement,713,"Journal of immunology (Baltimore, Md. : 1950)",56
Multivariate Analysis,702,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,24
B-Lymphocytes,701,"Journal of immunology (Baltimore, Md. : 1950)",126
Erythrocytes,697,Biochimica et biophysica acta,43
Genetic Variation,694,Molecular ecology,49
Prostatic Neoplasms,693,The Journal of urology,73
Lymphocytes,692,"Journal of immunology (Baltimore, Md. : 1950)",28
"Gene Expression Regulation, Neoplastic",690,Cancer research,72
"Neoplasm Recurrence, Local",686,Cancer,61
"Crystallography, X-Ray",684,Journal of molecular biology,97
Ligands,683,The Journal of biological chemistry,97
Alleles,680,Proceedings of the National Academy of Sciences of the United States of America,39
Neutrophils,679,"Journal of immunology (Baltimore, Md. : 1950)",64
Protein Biosynthesis,677,The Journal of biological chemistry,74
Viral Proteins,677,Journal of virology,167
Membrane Glycoproteins,671,"Journal of immunology (Baltimore, Md. : 1950)",69
Interferon-gamma,670,"Journal of immunology (Baltimore, Md. : 1950)",99
Computer Simulation,669,Biophysical journal,65
Genes,669,Proceedings of the National Academy of Sciences of the United States of America,75
Drug Administration Schedule,668,Gan to kagaku ryoho. Cancer & chemotherapy,63
"Endothelium, Vascular",663,The Journal of biological chemistry,41
"Tumor Markers, Biological",659,Anticancer research,31
Evaluation Studies as Topic,657,Journal of clinical microbiology,53
Amino Acids,656,The Journal of biological chemistry,78
"Genes, Bacterial",655,Journal of bacteriology,179
Thermodynamics,654,Biochemistry,147
Isoenzymes,653,The Journal of biological chemistry,71
Macromolecular Substances,651,The Journal of biological chemistry,142
Muscles,651,The Journal of biological chemistry,44
"Polymorphism, Genetic",649,Human genetics,18
Up-Regulation,644,The Journal of biological chemistry,55
Virus Replication,643,Journal of virology,194
Nucleic Acid Conformation,643,Nucleic acids research,112
"RNA, Viral",642,Journal of virology,146
Myocardial Infarction,641,The American journal of cardiology,70
Proto-Oncogene Proteins,640,The Journal of biological chemistry,82
Nucleic Acid Hybridization,638,Nucleic acids research,51
"Administration, Oral",631,Clinical pharmacology and therapeutics,31
HIV-1,630,Journal of virology,112
Electrocardiography,629,The American journal of cardiology,86
Water,626,The journal of physical chemistry. B,49
"Muscle, Skeletal",625,Muscle & nerve,39
Cell Adhesion,624,The Journal of biological chemistry,52
Nerve Tissue Proteins,621,The Journal of biological chemistry,68
Epitopes,618,"Journal of immunology (Baltimore, Md. : 1950)",71
Catalysis,613,Organic letters,124
Coronary Disease,613,The American journal of cardiology,91
Epithelial Cells,609,The Journal of biological chemistry,39
"Animals, Newborn",608,Pediatric research,41
Lipopolysaccharides,605,"Journal of immunology (Baltimore, Md. : 1950)",67
"Protein Structure, Secondary",605,The Journal of biological chemistry,125
"Antigens, CD",603,"Journal of immunology (Baltimore, Md. : 1950)",66
Neoplasm Proteins,598,The Journal of biological chemistry,47
Guinea Pigs,597,The Journal of pharmacology and experimental therapeutics,28
Random Allocation,597,Poultry science,23
Down-Regulation,595,"Journal of immunology (Baltimore, Md. : 1950)",55
Mitochondria,591,The Journal of biological chemistry,64
Cell Cycle,589,The Journal of biological chemistry,44
Quality of Life,588,Archives of physical medicine and rehabilitation,13
Tissue Distribution,586,The Journal of biological chemistry,44
Restriction Mapping,578,The Journal of biological chemistry,64
"Models, Chemical",578,The Journal of biological chemistry,63
Protein-Serine-Threonine Kinases,577,The Journal of biological chemistry,101
Smoking,577,American journal of public health,24
"Blotting, Northern",574,The Journal of biological chemistry,65
Hot Temperature,573,Biochemistry,24
Bacteria,572,Applied and environmental microbiology,66
RNA,572,The Journal of biological chemistry,50
"Receptors, Cell Surface",569,The Journal of biological chemistry,69
Microbial Sensitivity Tests,566,The Journal of antimicrobial chemotherapy,85
Obesity,565,Diabetes,30
Cholesterol,561,Biochimica et biophysica acta,44
Longitudinal Studies,558,Neurology,16
Glycoproteins,555,The Journal of biological chemistry,47
Socioeconomic Factors,553,American journal of public health,34
"Binding, Competitive",553,The Journal of biological chemistry,68
Heart,552,The American journal of physiology,58
Cyclic AMP,550,The Journal of biological chemistry,50
Sheep,546,Pediatric research,21
Trans-Activators,539,The Journal of biological chemistry,77
Genetic Predisposition to Disease,537,American journal of human genetics,17
Antibodies,532,The Journal of biological chemistry,24
Risk,532,American journal of epidemiology,22
Lymphatic Metastasis,529,Cancer,37
"Antibodies, Viral",528,The Journal of infectious diseases,36
"Microscopy, Fluorescence",526,The Journal of biological chemistry,90
Visual Acuity,524,American journal of ophthalmology,80
Genetic Vectors,523,The Journal of biological chemistry,44
Actins,520,The Journal of biological chemistry,51
"Sequence Homology, Nucleic Acid",517,The Journal of biological chemistry,45
Potassium,516,The American journal of physiology,42
Collagen,516,The Journal of biological chemistry,28
Immunoenzyme Techniques,514,Investigative ophthalmology & visual science,26
"Models, Theoretical",513,Biophysical journal,33
Monocytes,513,"Journal of immunology (Baltimore, Md. : 1950)",54
Diet,513,The American journal of clinical nutrition,53
Inflammation,512,"Journal of immunology (Baltimore, Md. : 1950)",27
Nitric Oxide,508,The Journal of biological chemistry,24
Stereoisomerism,506,Organic letters,139
Clinical Trials as Topic,506,Lancet,37
Lymph Nodes,505,"Journal of immunology (Baltimore, Md. : 1950)",38
Cytoplasm,504,The Journal of biological chemistry,76
"Mice, Inbred Strains",503,"Journal of immunology (Baltimore, Md. : 1950)",24
Body Mass Index,499,The Journal of clinical endocrinology and metabolism,25
Sodium,499,The American journal of physiology,66
Neoplasm Metastasis,498,Cancer research,47
"Image Processing, Computer-Assisted",498,Medical physics,26
Pilot Projects,495,American journal of obstetrics and gynecology,6
Ovarian Neoplasms,494,Gynecologic oncology,94
CD4-Positive T-Lymphocytes,493,"Journal of immunology (Baltimore, Md. : 1950)",70
Epithelium,493,The American journal of physiology,41
DNA Replication,493,The Journal of biological chemistry,49
"Gene Expression Regulation, Developmental",488,"Development (Cambridge, England)",97
"Cell Transformation, Neoplastic",488,Oncogene,48
Skin Neoplasms,487,Journal of the American Academy of Dermatology,39
Asthma,486,The Journal of allergy and clinical immunology,75
Oligonucleotide Array Sequence Analysis,485,Nucleic acids research,22
Cerebral Cortex,483,The Journal of neuroscience : the official journal of the Society for Neuroscience,54
Reoperation,478,The Annals of thoracic surgery,42
Mass Spectrometry,478,The Journal of biological chemistry,52
Immunoblotting,478,The Journal of biological chemistry,82
Oxidative Stress,478,Biochemical and biophysical research communications,24
Saccharomyces cerevisiae Proteins,476,The Journal of biological chemistry,75
Oxygen Consumption,476,The American journal of physiology,28
Membrane Potentials,475,The Journal of neuroscience : the official journal of the Society for Neuroscience,38
Colonic Neoplasms,474,Cancer research,62
Odds Ratio,473,American journal of epidemiology,19
Lipids,472,Biochimica et biophysica acta,27
Solubility,471,The Journal of biological chemistry,29
DNA Damage,470,The Journal of biological chemistry,31
"Microscopy, Electron, Scanning",469,Langmuir : the ACS journal of surfaces and colloids,27
Carcinoma,468,Cancer,48
Software,468,BMC bioinformatics,79
Bone Marrow,467,Blood,51
Iron,465,The Journal of biological chemistry,28
Methods,463,The British journal of surgery,13
Escherichia coli Proteins,463,Journal of bacteriology,93
Protein Kinase C,463,The Journal of biological chemistry,73
"Evolution, Molecular",462,Molecular phylogenetics and evolution,57
"Mice, Nude",460,Cancer research,65
Pedigree,458,American journal of human genetics,53
Electric Stimulation,458,The Journal of neuroscience : the official journal of the Society for Neuroscience,53
Repressor Proteins,454,The Journal of biological chemistry,55
Environmental Monitoring,452,Chemosphere,81
NF-kappa B,451,The Journal of biological chemistry,61
Gene Deletion,450,The Journal of biological chemistry,42
Estradiol,450,Endocrinology,50
Hydrolysis,449,The Journal of biological chemistry,75
"Spectrometry, Fluorescence",449,Biochemistry,84
"Recombination, Genetic",447,Journal of virology,39
Electroencephalography,444,Epilepsia,73
Chi-Square Distribution,443,The American journal of gastroenterology,11
"Models, Genetic",443,The Journal of biological chemistry,48
Neoplasm Invasiveness,443,International journal of cancer. Journal international du cancer,26
CHO Cells,443,The Journal of biological chemistry,88
Amino Acid Substitution,443,The Journal of biological chemistry,64
Equipment Design,442,Medical physics,20
Transcriptional Activation,440,The Journal of biological chemistry,75
"Polymorphism, Single Nucleotide",438,Human genetics,19
Feces,438,Journal of clinical microbiology,24
"Carcinoma, Hepatocellular",435,Hepato-gastroenterology,26
Exons,434,The Journal of biological chemistry,35
Intestinal Mucosa,434,Gastroenterology,33
Phosphoproteins,431,The Journal of biological chemistry,74
Tetradecanoylphorbol Acetate,431,The Journal of biological chemistry,49
Brain Neoplasms,429,Journal of neurosurgery,45
Fluorescent Dyes,429,Biochemistry,28
Cisplatin,426,Gan to kagaku ryoho. Cancer & chemotherapy,57
Tritium,424,Proceedings of the National Academy of Sciences of the United States of America,37
Fatty Acids,424,International journal of systematic and evolutionary microbiology,68
Syndrome,422,Human genetics,9
Stomach Neoplasms,422,Gan to kagaku ryoho. Cancer & chemotherapy,50
Great Britain,421,Nursing standard (Royal College of Nursing (Great Britain) : 1987),33
Hippocampus,420,The Journal of neuroscience : the official journal of the Society for Neuroscience,75
Cell Count,420,The Journal of neuroscience : the official journal of the Society for Neuroscience,19
Length of Stay,420,The Annals of thoracic surgery,15
"DNA, Neoplasm",419,Cancer research,45
Tumor Suppressor Protein p53,419,Oncogene,36
Melanoma,418,Cancer research,32
Organ Size,418,The American journal of physiology,27
Proportional Hazards Models,418,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,26
In Situ Hybridization,418,"Development (Cambridge, England)",45
"RNA, Small Interfering",418,The Journal of biological chemistry,45
Echocardiography,417,The American journal of cardiology,55
Light,417,Proceedings of the National Academy of Sciences of the United States of America,27
Ultraviolet Rays,417,The Journal of biological chemistry,26
Japan,415,Journal of epidemiology / Japan Epidemiological Association,15
Muscle Contraction,415,The American journal of physiology,26
Interleukin-2,415,"Journal of immunology (Baltimore, Md. : 1950)",68
Surface Properties,414,Langmuir : the ACS journal of surfaces and colloids,94
Colorectal Neoplasms,413,International journal of cancer. Journal international du cancer,22
"Statistics, Nonparametric",411,AJR. American journal of roentgenology,11
"Chromatography, Gel",410,The Journal of biological chemistry,52
China,409,Chemosphere,16
Cats,409,The American journal of physiology,26
Tyrosine,408,The Journal of biological chemistry,70
Registries,408,International journal of cancer. Journal international du cancer,14
Phospholipids,407,Biochimica et biophysica acta,74
Norepinephrine,407,The Journal of pharmacology and experimental therapeutics,36
"Gene Expression Regulation, Bacterial",406,Journal of bacteriology,160
Fungal Proteins,405,Molecular and cellular biology,40
"Water Pollutants, Chemical",404,Environmental science & technology,78
Interleukin-6,403,"Journal of immunology (Baltimore, Md. : 1950)",28
Antioxidants,403,The Journal of biological chemistry,15
Chick Embryo,402,Developmental biology,31
"Antigens, Surface",402,"Journal of immunology (Baltimore, Md. : 1950)",62
Osmolar Concentration,401,The American journal of physiology,53
Drug Synergism,399,Cancer research,18
Comorbidity,398,The Journal of clinical psychiatry,18
Antibody Specificity,397,"Journal of immunology (Baltimore, Md. : 1950)",33
Neoplasm Transplantation,394,Cancer research,41
Circular Dichroism,394,Biochemistry,98
Heart Ventricles,394,The American journal of cardiology,51
Cytosol,394,The Journal of biological chemistry,76
Bone Marrow Cells,393,Blood,63
"Muscle, Smooth, Vascular",390,The Journal of biological chemistry,29
Adipose Tissue,390,Diabetes,27
Cell Cycle Proteins,389,The Journal of biological chemistry,41
DNA Mutational Analysis,388,The Journal of biological chemistry,23
Radioimmunoassay,388,Endocrinology,19
Magnesium,388,The Journal of biological chemistry,52
Disease-Free Survival,387,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,40
Point Mutation,384,The Journal of biological chemistry,53
Protein Folding,383,The Journal of biological chemistry,66
Regional Blood Flow,382,The American journal of physiology,40
Cercopithecus aethiops,382,Journal of virology,52
"Antigens, Neoplasm",382,Cancer research,38
"Gene Expression Regulation, Enzymologic",381,The Journal of biological chemistry,70
DNA Repair,380,The Journal of biological chemistry,38
Protein Kinases,379,The Journal of biological chemistry,66
Triglycerides,379,Metabolism: clinical and experimental,24
Blood Platelets,379,Blood,47
"Microscopy, Confocal",378,The Journal of biological chemistry,37
Hospitalization,377,The American journal of psychiatry,15
Electrophysiology,377,The Journal of neuroscience : the official journal of the Society for Neuroscience,46
Interleukin-1,377,"Journal of immunology (Baltimore, Md. : 1950)",46
Dendritic Cells,376,"Journal of immunology (Baltimore, Md. : 1950)",70
"Protein Processing, Post-Translational",376,The Journal of biological chemistry,73
Molecular Conformation,376,Journal of medicinal chemistry,47
Age Distribution,376,Neurology,12
Staphylococcus aureus,375,The Journal of antimicrobial chemotherapy,24
European Continental Ancestry Group,371,American journal of public health,14
"Infusions, Intravenous",371,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,15
COS Cells,370,The Journal of biological chemistry,83
Sequence Deletion,370,The Journal of biological chemistry,51
Conserved Sequence,369,The Journal of biological chemistry,40
Green Fluorescent Proteins,367,The Journal of biological chemistry,48
Leukocyte Count,366,Blood,18
Seasons,366,The American journal of tropical medicine and hygiene,16
"Antibodies, Bacterial",366,Infection and immunity,72
Dimerization,366,The Journal of biological chemistry,92
"Killer Cells, Natural",365,"Journal of immunology (Baltimore, Md. : 1950)",58
Autoantibodies,363,"Journal of immunology (Baltimore, Md. : 1950)",22
Immunosuppressive Agents,363,Transplantation,53
"Diabetes Mellitus, Type 2",363,Diabetes,46
"Injections, Intravenous",362,"Journal of immunology (Baltimore, Md. : 1950)",17
Protein-Tyrosine Kinases,362,The Journal of biological chemistry,47
Heart Failure,361,Circulation,37
Doxorubicin,360,Gan to kagaku ryoho. Cancer & chemotherapy,27
Immunoglobulin M,359,"Journal of immunology (Baltimore, Md. : 1950)",36
Hematopoietic Stem Cells,358,Blood,97
"Genes, Reporter",358,The Journal of biological chemistry,56
Clone Cells,357,"Journal of immunology (Baltimore, Md. : 1950)",61
Mass Screening,357,Cancer,14
Pain,355,Anesthesiology,11
Mathematics,355,Biophysical journal,39
Gestational Age,355,American journal of obstetrics and gynecology,53
Hydrogen Peroxide,354,The Journal of biological chemistry,19
Wound Healing,353,Plastic and reconstructive surgery,13
Attitude of Health Personnel,352,Medical care,8
"Cytotoxicity, Immunologic",352,"Journal of immunology (Baltimore, Md. : 1950)",89
"Antigens, Bacterial",352,Infection and immunity,71
"Genes, Viral",351,Journal of virology,78
"Neoplasms, Experimental",350,Cancer research,64
Organ Specificity,350,The Journal of biological chemistry,31
Drug Combinations,350,Gan to kagaku ryoho. Cancer & chemotherapy,27
"Mice, Inbred C3H",349,"Journal of immunology (Baltimore, Md. : 1950)",55
"Blotting, Southern",349,Proceedings of the National Academy of Sciences of the United States of America,23
Drug Interactions,348,The Journal of pharmacology and experimental therapeutics,26
Carbon Dioxide,348,The American journal of physiology,17
Retina,347,Investigative ophthalmology & visual science,50
Cysteine,347,The Journal of biological chemistry,72
Histones,346,The Journal of biological chemistry,36
Kidney Neoplasms,345,The Journal of urology,49
Transforming Growth Factor beta,345,The Journal of biological chemistry,26
Data Collection,343,Health care financing review,9
Energy Metabolism,343,The British journal of nutrition,17
Cyclophosphamide,343,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,26
"Spectrophotometry, Ultraviolet",343,Journal of chromatography,37
Laparoscopy,342,The Journal of urology,27
Action Potentials,342,The Journal of neuroscience : the official journal of the Society for Neuroscience,62
"Transplantation, Homologous",341,Transplantation,71
DNA Restriction Enzymes,340,Nucleic acids research,50
Plant Proteins,340,Plant molecular biology,42
Linear Models,339,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",21
Colon,338,Gastroenterology,22
Aorta,338,The American journal of physiology,20
Fetus,337,American journal of obstetrics and gynecology,35
Reactive Oxygen Species,337,Biochemical and biophysical research communications,17
Intestines,337,Infection and immunity,15
"Arthritis, Rheumatoid",337,Annals of the rheumatic diseases,75
"Kidney Failure, Chronic",336,American journal of kidney diseases : the official journal of the National Kidney Foundation,40
Antiviral Agents,335,Antiviral research,37
Probability,335,American journal of human genetics,11
Virulence,335,Infection and immunity,54
Biomechanical Phenomena,334,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,34
Oocytes,332,The Journal of biological chemistry,33
Mutagenesis,332,The Journal of biological chemistry,54
"RNA, Ribosomal, 16S",332,International journal of systematic and evolutionary microbiology,119
Uterine Cervical Neoplasms,331,Gynecologic oncology,49
Kidney Transplantation,330,Transplantation,106
Homeodomain Proteins,329,"Development (Cambridge, England)",47
Hemoglobins,328,The Journal of biological chemistry,16
CD8-Positive T-Lymphocytes,328,"Journal of immunology (Baltimore, Md. : 1950)",66
Fluorouracil,328,Gan to kagaku ryoho. Cancer & chemotherapy,48
"Health Knowledge, Attitudes, Practice",327,AIDS education and prevention : official publication of the International Society for AIDS Education,13
Gene Frequency,326,American journal of human genetics,26
"Antigens, Viral",326,Journal of virology,41
Protein Transport,325,The Journal of biological chemistry,71
Antigens,325,"Journal of immunology (Baltimore, Md. : 1950)",42
India,325,Journal of the Indian Medical Association,20
Oligopeptides,324,The Journal of biological chemistry,28
Spinal Cord,324,The Journal of neuroscience : the official journal of the Society for Neuroscience,23
Motor Activity,324,The Journal of neuroscience : the official journal of the Society for Neuroscience,16
Cell Separation,323,"Journal of immunology (Baltimore, Md. : 1950)",33
Thymus Gland,322,"Journal of immunology (Baltimore, Md. : 1950)",50
Health Status,321,American journal of public health,10
Ethanol,321,The Journal of pharmacology and experimental therapeutics,17
Pancreas,321,The Journal of biological chemistry,23
GTP-Binding Proteins,320,The Journal of biological chemistry,73
Coronary Artery Bypass,320,The Annals of thoracic surgery,75
Ultrasonography,319,Radiology,33
Pancreatic Neoplasms,318,Hepato-gastroenterology,14
Trypsin,318,The Journal of biological chemistry,49
Oligodeoxyribonucleotides,318,Nucleic acids research,44
3T3 Cells,318,The Journal of biological chemistry,76
Genetic Linkage,317,American journal of human genetics,32
Adenosine Triphosphatases,317,The Journal of biological chemistry,69
